 
                                                                                                                                                                                                                                                                
 
                              Gini       Level for     Calculated      New                                        Gini
Obs    Variable            Statistic    Interactive       Role        Role       Level      Label               Ordering

  1    TotalArea             28.206      INTERVAL       Input        Default    INTERVAL    TotalArea               1   
  2    Age                   22.019      INTERVAL       Input        Default    INTERVAL    Age                     2   
  3    CentralAir            17.487      BINARY         Input        Default    BINARY      CentralAir              3   
  4    FirePlace             15.027      INTERVAL       Input        Default    INTERVAL    FirePlace               4   
  5    Baths                  9.398      INTERVAL       Input        Default    INTERVAL    Baths                   5   
  6    GarageSize             7.658      INTERVAL       Input        Default    INTERVAL    GarageSize              6   
  7    BasementType           4.576      NOMINAL        Input        Default    NOMINAL     BasementType            7   
  8    Basement               0.000      INTERVAL       Rejected     Default    INTERVAL    Basement                8   
  9    ConstructionType       0.000      INTERVAL       Rejected     Default    INTERVAL    ConstructionType        9   
 10    SecondFloor            0.000      INTERVAL       Rejected     Default    INTERVAL    SecondFloor            10   
